content,datetime
I really like infinity kingdom,2020-11-05 06:37:53
Excellent graphics different fun and interesting heroes,2020-07-24 22:33:21
awesome ... just make us control the troops on map plls,2020-05-22 14:12:02
very entertaining and addictive,2020-05-17 14:29:07
great game and beautiful graphic,2020-05-16 07:06:23
Nice game and fun. I hope you improve it and add more functions,2020-05-03 10:34:00
rok copy and glitchy game.,2020-05-03 00:54:46
nice graphics...... very good strategy.game,2020-05-02 12:41:46
easy mobile game that have patience to your self and protecting your territory,2020-04-30 22:49:44
"One of the smoothest game ive played so far and surely it will be more fun to play after the bugfixes. Ive only play it for  8 days and i got addicted already .keep up the good work! God bless  team IK ! 

Pioneer Server 2! 
- Kennie 😎",2020-04-22 15:29:42
The super player full P2W kkkkkkkkkkkk,2020-10-15 21:13:21
Hahahaha nice one 🥳,2020-10-16 02:00:13
We are the legit and original players of this game 👊 EMP ALLIANCE!!,2020-10-17 04:16:24
HAHAHAHAHAH LOL,2020-10-15 19:02:03
"Sir Famous
SToRK here 😁",2020-10-16 10:20:34
"You need to add more speed process on this, dragon very hard to upgrade! Hard to improve on level and skill level.

To add more, add more active players! Game updates is nothing if the game is dying lols",2020-10-30 12:40:00
"I think it's a great idea and I have another suggestion: you can put ""Purify Now"" option on other chests while another is being purified.",2020-10-30 12:26:52
Sorry to tell you... Fix the bug in chat box!!!,2020-11-03 20:39:05
lightning plz haha,2020-11-02 22:34:52
Alexander the great!! 😎❤,2020-11-03 09:03:01
"Infinity Kingdom, another Joy ride",2020-11-02 23:26:32
Put more servers !!!!!,2020-11-03 00:05:58
S5 PLEASE,2020-11-02 22:49:17
Downloading ..... =),2020-10-30 20:22:45
JAJAJJAJAJAJ always aware of my favorite game 😎🔥,2020-10-31 09:20:44
Done 😔😁😁,2020-11-01 23:37:48
More servers! Lols,2020-10-31 08:47:12
Same app or need to redownload?Link?,2020-11-02 12:28:45
I don't see alexander has a lion on his side on this game... you g.m dont play your game you have misleading information.,2020-10-21 11:39:26
"xxxxxxxxxx
Norheim 1

As a kid, I always wanted to have a dog but I was always influenced by my relatives to not have one. With time I grew up and started working and one day I saw a picture posted by my friend and there I saw a little dog. I asked him if he was for sale and he said yes.

I didn’t have any money at the time to buy the dog so I asked him if he could wait. Every day I asked the Universe to give me money for the dog. It really worked and my dog is sitting in my lap right now! I don’t know how it worked, but I do know that I am so grateful for it. Ever since that day, I believe!

Thank you, thank you, thank you!",2020-10-21 22:20:28
"It was October of 2018.
I had my dog with me for 4 months. Not once did she climbed up on my bed at night. Not once in 130 days. She was trained that way.

This particular night I was sick. I had bad fewer and terrible cold. I already took off the day before from my office. I was shivering from cold. Somehow I managed to sleep at 2.00 am. Suddenly I felt something warm. I realised the bed was occupied and I have little place to move. I looked out in the dark. I already knew what it was.

My dog came and slept by me. She felt the temperature and maybe that is the reason she wanted to give me care. I was taken back. I used to stay alone with my dog. She did what other human would have done. Cared.",2020-10-21 12:10:14
"Good evening, gentlemen, administrators!",2020-10-21 11:34:02
"The event is over and all gifts have been sent out. As Daisy just could not choose from so many touching stories, we've raised the number of super winners to 6! Here is the list of super winners:
Pedro Diosnel
Kenneth Ace
Caoimhe Andrea
Elgen Tan
Kathy Kath
ugurcanmoroglu
Congratulations!
Thanks again for your participation!🤗🤗Best wishes to you and your beloved animal friends!",2020-10-23 11:01:03
"It was October of 2018.
I had my dog with me for 4 months. Not once did she climbed up on my bed at night. Not once in 130 days. She was trained that way.

This particular night I was sick. I had bad fewer and terrible cold. I already took off the day before from my office. I was shivering from cold. Somehow I managed to sleep at 2.00 am. Suddenly I felt something warm. I realised the bed was occupied and I have little place to move. I looked out in the dark. I already knew what it was.

My dog came and slept by me. She felt the temperature and maybe that is the reason she wanted to give me care. I was taken back. I used to stay alone with my dog. She did what other human would have done. Cared.",2020-10-21 21:00:01
"Once, I had a pet named BURNIK and he's a dog btw. This all started when my cousin's dog named HOTDOG (yes again LOL. I'm very close to my cousin.) gave birth to puppies : D. My cousin gave me a dog, he has black fur and oh boy he was cute when he was a puppy! This puppy was so weak that I had to nurse her with lots of milk because the mother died giving birth to 15 dogs. He was one feisty drinker that gave me some appetite eating more everyday because i usually eat less. He was abandoned by her mother without consent that made me think that having parents is a gift. Then i kissed my mother and father who were there feeding BURNIK as well. It just gives me reason to live fully to know that there are people who are less fortunate than us. I hope my story isn't boring : D

UPDATE: He is still alive, yes and he is a big boy now!",2020-10-22 15:17:36
"I used to have dogs named Althea and Louise. I miss them. They give this warmth and comfy feeling everytime I got home from the university. My stress relievers on weekends. Interestingly enough, the time we got them, the government already had a policy where you had to register your dog. They were not just dogs but members of the family. It's amazing how these beings bring so much serenity and feeling of security in one's life just like human beings do. 💜",2020-10-21 18:32:23
"I have a fighting cock/rooster, he fights and trains with our neighbor's pussies meow. 😎",2020-10-21 12:24:14
This event is over and all gifts have been sent out! Thank you for participating! Infinity Kingdom appreciates your love and enthusiasm. Have a nice day!🤗🤗,2020-10-28 09:55:29
"Navigate 3, 6 o 12 hours? If it were for me I would also implement a mini pirate-themed game where you look for treasures 🤣🤣🤣🤣
After all, there are those who have felt Jack Sparrow at least once in their lives and who are lying!",2020-10-27 16:04:44
I think it would be more interesting if we could sail to find treasures and convert it to gold because the way to get gold is just only by gold minting and by occupying higher towns than cities aka provincial capitals and the likes,2020-10-28 08:17:21
"Well, a lot of kingdoms sitting on the fence waiting for this to happen. Invasion armies usually don't usually show up with the same interests as someone taking screen shots of the ancient ruin sites on vacation, lol. It will be exciting, adopting to new dimension of ""Infinity Kingdom"", friend and for looking forward to the event.

ID xxxxxxxxxx",2020-10-28 02:29:20
"This would be a great update to consider all types of player. Starting from the player who spend too much time in the game versus to those who needs to go to work or school.
Perhaps i will sail depending on how much plunder i will get.",2020-10-27 17:24:47
Nice update! 😍,2020-10-28 12:46:44
This event is over and all gifts have been sent out! Thank you for participating! There will be a galaxy of events in the following days as the next update is on its way! Please stay tuned! 🤗🤗,2020-10-30 10:04:12
"ID xxxxxxxxxx

You're crazy! Do you know how much a rune explorer wants to pay? And you want to put the second one? And then the dragon with what money I upgrade him ? Hahahaha well done IK 😁",2020-10-29 14:49:07
"This update would be great more philo stones, gems and vip points to look forward to 😊",2020-10-29 12:32:16
